400X5

189.045	614	818458	12622	15
209.861	7	6399585	6080	27
177.643	593	649912	27527	14
708.105	751	1974578	88313	2
4.523.957	772	3888105	328272	26
4.115.206	789	446124	676613	26
282.179	727	13434	4734	22
652.581	739	3589676	21762	19
126.692	7	2207502	2232	29
252.434	721	2559043	10047	22
545.297	617	618463	14474	18
8.065.564	453	1025693	9836	16
1.153.475	67	1386059	2961	18
294.498	636	94427	15382	15
5.088.468	604	2482618	57525	17
26393	591	558805	7671	16
213.584	618	1019778	10781	17
117.514	579	983168	25114	17
1.775.634	515	568579	19522	14
405.833	638	1321298	2709	17
186.554	584	672434	9913	17
316.724	587	559506	19679	19
1.234.537	761	2872637	109955	21
1.222.494	56	1279513	21331	18
8.448.082	736	2943154	83980	21
130.989	733	3549204	1374	25
719.998	74	223833	57027	22
1.147.407	672	232305	4452	16
92.617	705	192242	2600	25
458191	665	3034895	3468	19
42072	593	1168738	66477	18
79.056	749	2316858	1793	21
1.173.447	577	688467	43761	18
94.819	72	2238014	2614	18
602.387	649	2177929	2467	23
87314	596	98106	14609	18
23781	721	1823408	11662	18
902.402	598	793672	17356	18
209.262	746	1705411	9148	2
1.705.773	588	442448	33038	42
146.901	712	261754	1207	21
2.141.822	737	1801397	40082	2
598.221	664	1305279	3338	16
522.506	703	1275196	14195	2
10.791.406	589	1093613	44258	18
1.017.635	694	1962791	11191	18
97.072	639	1340021	21609	12
138.792	633	1449619	10589	16
27.903.534	62	180677	16968	14
510.032	616	867167	21711	17
8.411.904	631	4881746	21188	19
2.076.942	619	722259	16095	15
2.886.494	588	538528	22148	19
5.703.586	744	2024508	129784	22
696.754	566	782527	13677	15
831.857	609	1378639	13106	18
350.037	699	1971502	2487	19
323.916	745	2112019	13655	2
254.869	772	3489275	21177	25
626.722	732	273019	3154	52
63376	59	715012	19780	14
2.124.582	721	2968445	65397	2
1.887.669	656	1659741	3041	2
3.135.106	584	1087515	11149	19
965.676	627	151626	8047	16
328.227	624	186764	11727	24
45.085	737	2022018	5638	2
329.727	646	2149254	3461	22
1.334.629	647	898692	20588	17
1.124.657	623	1358618	98749	17
