5165X5

10216	697	1727085	2071	17
166.972	646	881444	7515	16
324.639	671	7006226	7433	25
454.751	725	1538839	19846	18
7.067.025	641	1646111	25437	19
8.953.191	714	2523096	50189	22
313.007	687	2107291	4109	27
523.789	549	519046	8070	16
386.945	667	1910099	2948	18
159.533.328	665	2971079	111435	28
73.295	602	594742	7479	15
36201	668	1239234	14551	16
452.523	598	594151	22896	16
928.956	73	2327345	16219	21
383.308	554	769301	26872	14
1.876.032	558	466847	31312	16
3.958.273	592	1525848	14045	18
114.445	747	3101338	1803	29
25.753.487	542	138249	15933	15
318.574	7	201559	4154	23
5.399.292	704	45128	18164	25
10398	755	2431532	1967	22
2.240.438	651	1375021	6466	26
10369	661	1283634	5791	17
191.334	672	320278	14365	29
78.843	734	2537332	3040	21
3.866.916	701	4055327	11532	23
503.764	719	9517618	5784	36
152.272	66	1281259	8522	16
1.737.836	585	571239	14070	14
1.844.817	638	834524	10921	2
2.593.905	713	1876039	7514	17
2.651.822	625	1268106	20916	19
967.772	678	2095923	2998	21
407.719	696	1830961	14693	19
11.132.176	633	2840144	11001	19
447.666	676	235125	10222	21
518.053	62	998683	11693	16
227.617	664	1016429	8022	15
1.338.205	601	766321	16976	11
1.440.401	705	9751145	10246	3
66156	721	1328312	21988	17
957.654	614	759946	39864	17
8366	766	10019736	18324	5
5.923.461	527	658089	15908	14
278.173	592	857997	4199	14
362.411	728	2280288	3795	19
347.647	758	1703719	24813	23
153.662	688	937327	5119	21
84.879	722	1336345	3196	2
599.443	676	150429	15599	16
3.029.189	643	1295526	16747	16
374.008	572	1374904	3673	2
2.131.921	578	1122876	5326	13
1.259.366	66	1273909	8645	18
424.249	708	2030165	11237	21
1.212.167	708	2716891	8516	17
71.311	699	1135307	208177	23
2847231	484	1216979	11560	13
4.202.324	673	2087443	38465	2
502.402	52	578094	6895	18
9.167.617	642	1553558	8757	17
384.735	669	1511223	6084	21
234.956	58	744677	22726	16
506.457	624	1272695	6854	18
1.343.237	609	1375129	3754	16
7.438.217	555	624713	41106	14
1.155.205	598	691181	17322	13
431.673	625	837341	38259	14
4.754.109	56	61222	11242	17
173.484	666	1000374	26409	19
822.372	561	61325	16798	21
133.912	811	4405042	233868	29
133.563	7	1240327	6018	16
122.785	751	1945419	39189	21
252.876	745	1423781	5967	19
9349	682	1149903	7576	18
1.179.038	606	757453	42901	17
408.525	681	1530084	3408	2
3533	611	1143242	2390	24
136.186	641	834964	4924	16
121.984	606	915267	2246	13
445.323	785	5135169	71193	27
298.349	709	2626498	18886	18
186.135	568	700545	17818	16
1.336.361	54	782646	19568	2
102.647	695	2475008	2901	16
6.913.068	484	644997	28466	19
1.011.135	581	525362	27352	23
325.953	754	2719761	4845	24
2.446.121	594	678379	12978	14
1.576.973	671	923166	9749	14
190.451	718	1233962	516057	19
933.156	737	362942	375142	25
11.895.296	548	119316	27096	2
608.292	581	69343	15696	13
2.946.317	663	1592977	24954	18
3.395.437	67	2081105	8927	19
231.991	699	1994854	5832	17
411.898	73	998738	28546	29
1.590.316	555	643543	13737	15
236.075	725	2871949	20769	2
1.362.386	588	917295	15490	26
469.396	734	1958392	40706	19
964.226	779	3594632	57350	23
324.326	72	8205818	1306	25
1.005.285	7	1471328	12507	16
1.027.288	719	3605933	24634	24
185.211	597	799296	8541	16
1.273.268	697	530133	10458	34
118.037	572	864205	11045	23
500.037	687	2039638	4943	19
223.435	63	696227	6684	17
153005	625	858554	14690	17
451.733	648	1229998	3423	15
741.582	624	901397	11909	19
825.082	724	4070555	194619	35
18784	589	539733	11481	11
106.021	721	2763969	2974	19
5695	725	1460082	1126	2
736.557	721	1571017	6484	23
32084	741	1472225	4053	21
97923	714	1693099	21746	24
337.877	594	640845	9705	16
587.921	688	1477632	7537	18
54212	674	1610551	3248	18
603638	561	800933	20196	16
242.964	74	2815494	6210	21
321.606	592	518509	19569	17
260.104	599	661832	7278	11
882.317	687	1978987	19420	22
645.748	62	1680119	3114	16
29353	561	801361	12208	18
233.574	749	6977577	8327	23
529.915	683	1083884	11608	17
787.061	645	1576486	9637	2
345.283	598	52407	12072	12
1.145.175	643	2208148	8808	2
244.897	578	636944	7237	16
46962	656	2136404	7587	19
83.802	684	1170351	1664	19
347.617	758	3619769	13306	23
179.004	721	1985549	4329	19
278.539	718	2207023	542090	2
602.133	693	2767165	2517	16
1.160.368	651	1542542	4726	17
275015	697	3283404	25072	22
121.076	755	2565478	36279	2
295.705	578	850889	8430	17
